"SITE","SEASON","DATE","PLOT_ID","ROW","EME.raw","ZONE","TRAFFIC.by.zone","TRAFFIC.by.row"
"NH",2019,"16/11/2018",2,1,10,"O",0,0
"NH",2019,"16/11/2018",2,2,27,"O",0,0
"NH",2019,"16/11/2018",2,3,7,"O",0,0
"NH",2019,"16/11/2018",2,4,20,"W",3,3
"NH",2019,"16/11/2018",2,5,23,"W",3,3
"NH",2019,"16/11/2018",2,6,19,"W",3,3
"NH",2019,"16/11/2018",2,7,28,"W",3,3
"NH",2019,"16/11/2018",2,8,24,"C",0,0
"NH",2019,"16/11/2018",2,9,26,"C",0,0
"NH",2019,"16/11/2018",2,10,25,"C",0,0
"NH",2019,"16/11/2018",2,11,14,"C",0,0
"NH",2019,"16/11/2018",2,12,27,"C",0,0
"NH",2019,"16/11/2018",2,13,20,"C",0,0
"NH",2019,"16/11/2018",2,14,33,"C",0,0
"NH",2019,"16/11/2018",2,15,19,"C",0,0
"NH",2019,"16/11/2018",2,16,31,"W",3,3
"NH",2019,"16/11/2018",2,17,25,"W",3,3
"NH",2019,"16/11/2018",2,18,28,"W",3,3
"NH",2019,"16/11/2018",2,19,27,"W",3,3
"NH",2019,"16/11/2018",2,20,39,"O",0,0
"NH",2019,"16/11/2018",2,21,37,"O",0,0
"NH",2019,"16/11/2018",2,22,24,"O",0,0
"NH",2019,"16/11/2018",3,1,13,"O",0,1
"NH",2019,"16/11/2018",3,2,19,"O",0,1
"NH",2019,"16/11/2018",3,3,24,"O",0,1
"NH",2019,"16/11/2018",3,4,28,"W",4,4
"NH",2019,"16/11/2018",3,5,21,"W",4,4
"NH",2019,"16/11/2018",3,6,14,"W",4,4
"NH",2019,"16/11/2018",3,7,25,"W",4,4
"NH",2019,"16/11/2018",3,8,21,"C",1,1
"NH",2019,"16/11/2018",3,9,27,"C",1,1
"NH",2019,"16/11/2018",3,10,17,"C",1,0
"NH",2019,"16/11/2018",3,11,18,"C",1,0
"NH",2019,"16/11/2018",3,12,33,"C",1,0
"NH",2019,"16/11/2018",3,13,14,"C",1,0
"NH",2019,"16/11/2018",3,14,33,"C",1,1
"NH",2019,"16/11/2018",3,15,21,"C",1,1
"NH",2019,"16/11/2018",3,16,39,"W",4,4
"NH",2019,"16/11/2018",3,17,13,"W",4,4
"NH",2019,"16/11/2018",3,18,21,"W",4,4
"NH",2019,"16/11/2018",3,19,38,"W",4,4
