rid,cm
1,0
1,12
1,54
1,57
1,65
1,71
1,92
1,97
1,105
1,110
1,116
1,124
1,146
1,189
1,191
1,199
1,204
1,214
1,267
1,293
1,304
1,336
1,385
1,391
1,405
1,408
1,409
1,412
1,441
1,445
1,452
1,459
1,467
1,480
1,481
1,520
1,523
1,529
1,581
1,600
1,604
1,635
1,643
1,660
1,662
1,678
1,694
1,696
1,700
1,706
1,711
1,720
1,752
1,756
1,785
1,835
1,840
1,843
1,860
1,872
1,981
1,982
1,1047
1,1052
1,1063
1,1078
1,1080
1,1084
1,1110
1,1119
1,1129
1,1133
1,1160
1,1161
1,1172
1,1188
1,1196
1,1200
1,1204
1,1216
1,1219
1,1220
1,1251
1,1256
1,1274
1,1275
1,1299
1,1307
1,1336
1,1342
1,1355
1,1371
1,1374
1,1385
1,1426
1,1448
1,1452
1,1458
1,1462
1,1465
1,1470
1,1491
1,1494
1,1498
1,1502
1,1525
1,1527
1,1532
1,1560
1,1571
1,1576
1,1582
2,0
2,3
2,21
2,27
2,32
2,36
2,40
2,46
2,48
2,56
2,57
2,65
2,83
2,84
2,86
2,99
2,104
2,106
2,114
2,138
2,142
2,148
2,178
2,183
2,187
2,196
2,198
2,243
2,255
2,267
2,290
2,334
2,339
2,352
2,372
2,411
2,472
2,496
2,506
2,513
2,531
2,552
2,555
2,556
2,572
2,591
2,626
2,651
2,657
2,667
2,674
2,676
2,696
2,714
2,725
2,727
2,765
2,770
2,772
2,785
2,793
2,797
2,805
2,816
2,817
2,818
2,840
2,885
2,891
2,909
2,914
2,915
2,946
2,948
2,964
2,971
2,995
2,1002
2,1010
2,1019
2,1028
2,1037
2,1040
2,1050
2,1075
2,1111
2,1119
2,1147
2,1153
2,1186
2,1189
2,1210
2,1213
2,1219
2,1244
2,1269
2,1279
2,1302
2,1316
2,1317
2,1325
2,1327
2,1338
2,1340
2,1346
2,1348
2,1350
2,1363
2,1380
2,1398
2,1425
2,1434
2,1460
2,1470
2,1486
2,1489
2,1490
2,1506
2,1510
2,1530
2,1535
2,1580
2,1584
2,1591
3,0
3,40
3,61
3,91
3,100
3,155
3,162
3,177
3,178
3,202
3,232
3,249
3,288
3,304
3,323
3,326
3,334
3,364
3,368
3,375
3,383
3,406
3,412
3,431
3,442
3,482
3,483
3,495
3,515
3,521
3,568
3,581
3,587
3,596
3,608
3,621
3,625
3,633
3,635
3,671
3,673
3,683
3,697
3,735
3,746
3,750
3,763
3,767
3,770
3,787
3,830
3,849
3,851
3,852
3,864
3,867
3,878
3,879
3,886
3,916
3,926
3,932
3,942
3,971
3,973
3,976
3,980
3,1001
3,1013
3,1019
3,1046
3,1057
3,1076
3,1083
3,1093
3,1123
3,1148
3,1157
3,1166
3,1173
3,1217
3,1223
3,1225
3,1232
3,1233
3,1250
3,1251
3,1258
3,1300
3,1337
3,1339
3,1373
3,1383
3,1389
3,1392
3,1402
3,1404
3,1419
3,1432
3,1454
3,1469
3,1475
3,1492
3,1501
3,1509
3,1545
3,1552
3,1563
3,1564
3,1576
3,1580
4,0
4,20
4,29
4,56
4,60
4,67
4,74
4,77
4,84
4,113
4,117
4,127
4,180
4,200
4,204
4,211
4,214
4,223
4,235
4,249
4,281
4,286
4,293
4,297
4,300
4,309
4,317
4,334
4,353
4,357
4,387
4,401
4,437
4,438
4,452
4,479
4,486
4,492
4,495
4,517
4,534
4,541
4,555
4,564
4,577
4,581
4,589
4,596
4,607
4,614
4,630
4,632
4,636
4,641
4,651
4,655
4,659
4,665
4,698
4,701
4,711
4,713
4,722
4,726
4,727
4,748
4,751
4,759
4,776
4,786
4,791
4,816
4,824
4,888
4,899
4,903
4,909
4,919
4,939
4,954
4,998
4,1028
4,1036
4,1062
4,1088
4,1100
4,1104
4,1114
4,1121
