"","SITE","DATE","PEN_ID","PEN_PLOT","REP","PLOT_ID","ZONE","Depth","PR","TILLAGE_DEPTH","TRAFFIC_CONTROL","TYRE_PRESSURE","TILLAGE_NUM","BLOCK","TRAFFIC.by.zone","TC","Layer"
"1","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",1,0.7,"D","STP","H",3,1,4,"HT","1"
"2","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",2,1.1,"D","STP","H",3,1,4,"HT","1"
"3","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",3,1.1,"D","STP","H",3,1,4,"HT","1"
"4","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",4,1.1,"D","STP","H",3,1,4,"HT","1"
"5","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",5,1.1,"D","STP","H",3,1,4,"HT","1"
"6","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",6,1.6,"D","STP","H",3,1,4,"HT","2"
"7","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",7,1.6,"D","STP","H",3,1,4,"HT","2"
"8","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",8,1.6,"D","STP","H",3,1,4,"HT","2"
"9","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",9,1.6,"D","STP","H",3,1,4,"HT","2"
"10","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",10,1.6,"D","STP","H",3,1,4,"HT","2"
"11","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",11,1.6,"D","STP","H",3,1,4,"HT","3"
"12","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",12,1.6,"D","STP","H",3,1,4,"HT","3"
"13","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",13,1.6,"D","STP","H",3,1,4,"HT","3"
"14","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",14,1.6,"D","STP","H",3,1,4,"HT","3"
"15","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",15,1.6,"D","STP","H",3,1,4,"HT","3"
"16","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",16,1.6,"D","STP","H",3,1,4,"HT","4"
"17","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",17,1.2,"D","STP","H",3,1,4,"HT","4"
"18","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",18,1.5,"D","STP","H",3,1,4,"HT","4"
"19","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",19,1.2,"D","STP","H",3,1,4,"HT","4"
"20","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",20,1.4,"D","STP","H",3,1,4,"HT","4"
"21","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",21,1.4,"D","STP","H",3,1,4,"HT","5"
"22","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",22,2.2,"D","STP","H",3,1,4,"HT","5"
"23","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",23,2.4,"D","STP","H",3,1,4,"HT","5"
"24","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",24,2.4,"D","STP","H",3,1,4,"HT","5"
"25","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",25,2.4,"D","STP","H",3,1,4,"HT","5"
"26","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",26,2.3,"D","STP","H",3,1,4,"HT","6"
"27","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",27,2.3,"D","STP","H",3,1,4,"HT","6"
"28","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",28,2.5,"D","STP","H",3,1,4,"HT","6"
"29","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",29,2.7,"D","STP","H",3,1,4,"HT","6"
"30","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",30,2.7,"D","STP","H",3,1,4,"HT","6"
"31","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",31,2.9,"D","STP","H",3,1,4,"HT","7"
"32","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",32,2.9,"D","STP","H",3,1,4,"HT","7"
"33","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",33,3,"D","STP","H",3,1,4,"HT","7"
"34","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",34,3.9,"D","STP","H",3,1,4,"HT","7"
"35","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",35,4.4,"D","STP","H",3,1,4,"HT","7"
"36","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",36,5.1,"D","STP","H",3,1,4,"HT","8"
"37","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",37,6.2,"D","STP","H",3,1,4,"HT","8"
"38","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",38,6,"D","STP","H",3,1,4,"HT","8"
"39","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",39,6.5,"D","STP","H",3,1,4,"HT","8"
"40","LM","16/10/2020","PLOT-001.1	N00",1,1,1,"W",40,6.7,"D","STP","H",3,1,4,"HT","8"
"41","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",1,0.5,"D","STP","H",3,1,4,"HT","1"
"42","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",2,0.5,"D","STP","H",3,1,4,"HT","1"
"43","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",3,0.9,"D","STP","H",3,1,4,"HT","1"
"44","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",4,0.9,"D","STP","H",3,1,4,"HT","1"
"45","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",5,0.9,"D","STP","H",3,1,4,"HT","1"
"46","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",6,1,"D","STP","H",3,1,4,"HT","2"
"47","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",7,1.2,"D","STP","H",3,1,4,"HT","2"
"48","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",8,1.2,"D","STP","H",3,1,4,"HT","2"
"49","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",9,1.2,"D","STP","H",3,1,4,"HT","2"
"50","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",10,1.4,"D","STP","H",3,1,4,"HT","2"
"51","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",11,1.6,"D","STP","H",3,1,4,"HT","3"
"52","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",12,1.7,"D","STP","H",3,1,4,"HT","3"
"53","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",13,1.9,"D","STP","H",3,1,4,"HT","3"
"54","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",14,2.1,"D","STP","H",3,1,4,"HT","3"
"55","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",15,2.2,"D","STP","H",3,1,4,"HT","3"
"56","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",16,2.2,"D","STP","H",3,1,4,"HT","4"
"57","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",17,2.2,"D","STP","H",3,1,4,"HT","4"
"58","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",18,2.1,"D","STP","H",3,1,4,"HT","4"
"59","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",19,2.1,"D","STP","H",3,1,4,"HT","4"
"60","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",20,1.9,"D","STP","H",3,1,4,"HT","4"
"61","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",21,1.9,"D","STP","H",3,1,4,"HT","5"
"62","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",22,1.9,"D","STP","H",3,1,4,"HT","5"
"63","LM","16/10/2020","PLOT-001.2	N00",1,2,1,"W",23,2,"D","STP","H",3,1,4,"HT","5"
